Player,POS,Team,Age,GP,W,L,Min,PTS,OREB,DREB,REB,AST,TD3,+/-
Dominick Barlow,F,SAS,19,28,5,23,407.6,110,46,56,102,24,0,-108
Ish Smith,PG,DEN,34,43,25,18,397.9,108,5,49,54,100,0,-36
Jake LaRavia,F,MEM,21,35,22,13,414.3,105,19,44,63,21,0,-78
Boban Marjanovic,C,HOU,34,31,7,24,171.1,102,20,40,60,9,0,66
Gary Payton II,SG,GSW,30,22,13,9,367.6,101,24,45,69,30,0,39
Kessler Edwards,SF,SAC,22,36,17,19,385.8,100,23,38,61,23,0,5
Cody Zeller,C,MIA,30,15,6,9,216.6,98,25,39,64,10,0,-48
Jamal Cain,F,MIA,24,18,10,8,240,98,15,37,52,12,0,22
Theo Pinson,G,DAL,27,40,19,21,323,95,10,53,63,46,1,-50
Skylar Mays,SG,POR,25,6,1,5,188.8,92,2,17,19,50,0,-74
Bryn Forbes,SG,MIN,29,25,9,16,267.7,89,4,11,15,17,0,-48
Davon Reed,SG,LAL,27,43,29,14,342.5,89,10,49,59,23,0,-99
Frank Kaminsky,PF,HOU,30,36,13,23,234.9,89,7,45,52,32,0,-4
Terry Taylor,F,CHI,23,31,13,18,263.4,89,27,20,47,10,0,18
Johnny Juzang,G,UTA,22,18,6,12,232.3,87,8,31,39,8,0,-87
Dalen Terry,F,CHI,20,38,19,19,213.9,85,12,25,37,22,0,12
David Duke Jr.,G,BKN,23,23,10,13,228,85,11,18,29,21,0,-35
Nikola Jovic,F,MIA,19,15,7,8,204.5,82,9,22,31,10,0,-16
Kennedy Chandler,G,MEM,20,36,22,14,281.5,78,9,29,38,58,0,-41
Peyton Watson,F,DEN,20,23,13,10,186.1,75,8,29,37,11,0,-47
Kemba Walker,PG,DAL,32,9,5,4,143.9,72,3,13,16,19,0,-1
Luka Samanic,F,UTA,23,7,2,5,160.8,69,0,30,30,15,0,-6
Serge Ibaka,F,MIL,33,16,11,5,185.4,66,15,29,44,4,0,-25
Danny Green,F,CLE,35,11,6,5,138.7,61,3,11,14,6,0,-17
Jeff Dowtin Jr.,PG,TOR,25,25,17,8,258.7,61,6,17,23,31,0,-9
Moussa Diabate,F,LAC,21,22,10,12,195.5,59,31,19,50,4,0,-22
Mamadi Diakite,F,CLE,26,22,15,7,175.9,57,8,22,30,8,0,-9
A.J. Lawson,G,DAL,22,15,5,10,108.3,56,6,15,21,2,0,-46
Quenton Jackson,G,WAS,24,9,3,6,134.6,56,2,6,8,15,0,-17
Jonathan Isaac,PF,ORL,25,11,8,3,124,55,15,29,44,6,0,-19
Jeenathan Williams,G,POR,24,5,1,4,126.6,53,10,5,15,10,0,-38
Trent Forrest,G,ATL,24,23,9,14,277,52,5,32,37,38,0,-58
James Johnson,PF,IND,36,18,7,11,162.4,51,4,26,30,15,0,-7
Jay Huff,C,WAS,25,7,2,5,94.9,51,6,15,21,10,0,-7
Thanasis Antetokounmpo,SF,MIL,30,37,25,12,206.2,51,15,29,44,15,0,-114
Garrett Temple,SF,NOP,36,25,16,9,161.8,50,5,12,17,13,0,-17
Lindell Wigginton,G,MIL,25,7,4,3,86.7,50,0,7,7,14,0,-39
Daniel Theis,C,IND,31,7,1,6,108.8,49,7,15,22,9,0,-19
Matthew Dellavedova,PG,SAC,32,32,19,13,212.8,47,1,12,13,41,0,-51
Josh Minott,F,MIN,20,15,7,8,96.2,46,5,20,25,5,0,24
KZ Okpala,SF,SAC,24,35,19,16,248,46,7,27,34,13,0,-11
Jared Rhoden,G,DET,23,14,2,12,197.9,45,11,26,37,4,0,21
John Butler Jr.,F,POR,20,19,4,15,221.1,45,3,14,17,11,0,-70
Dru Smith,G,BKN,25,15,7,8,158.4,44,2,22,24,22,0,-28
Jarrett Culver,G,ATL,24,10,5,5,136.9,44,10,28,38,6,0,-19
Otto Porter Jr.,SF,TOR,29,8,4,4,146.3,44,6,13,19,8,0,-21
